Marke	Artikelnummer	Kurzbezeichnung	Baujahr	TieferlegungVA	TieferlegungHA	VerstellungVA	VerstellungHA	Auflagen	Zulassung	AchslastVA	AchslastHA	Lieferumfang	Ausfuehrung	Hinweise	Produkt	Durchmesser	EANcode	VerpackungL	VerpackungB	VerpackungH	VerpackungG	Produktkategorie	FederbeinklemmdurchmesserVA	FahrzeugElektronischeDaempferregelung	Hinterachsausfuehrung	Einschraenkung	EinschraenkungF	TieferlegungVAmin	TieferlegungVAmax	TieferlegungHAmin	TieferlegungHAmax	Versandpaket	UPC	Produkthinweis	Zuordnungshinweis	HinweisE	Vk	Hersteller	Modell	Typ	Handelsname	Bauform	Kraftstoffart	Kw	Hubraum	Zylinder	Antriebsart	Hsntsn	Fahrzeugid	Flag_matching
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.2 FSI quattro	Stufenheck	Benzin	188	3123	6	Allrad	0588849 | 0588ABT		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.2 FSI	Stufenheck	Benzin	188	3123	6	Frontantrieb	0588848 | 0588ABS		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.8 FSI	Stufenheck	Benzin	162	2773	6	Frontantrieb	0588AJA		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.8 FSI quattro	Stufenheck	Benzin	162	2773	6	Allrad	0588AJB		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.0 quattro	Stufenheck	Benzin	160	2976	6	Allrad	0588ABW		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.0	Stufenheck	Benzin	160	2976	6	Frontantrieb	0588855 | 0588ABV		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.8 FSI quattro	Stufenheck	Benzin	154	2773	6	Allrad	0588AGJ		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.8 FSI	Stufenheck	Benzin	154	2773	6	Frontantrieb	0588AFX		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.8 FSI quattro	Stufenheck	Benzin	140	2773	6	Allrad	0588AJF		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.8 FSI	Stufenheck	Benzin	140	2773	6	Frontantrieb	0588AJE		0
